timestamp,month,pvout_mean,pvout_median,pvout_min,pvout_max,valid_pixels
2020-01-01,1,5.355090659672584,5.38700008392334,0.47999998927116394,6.104000091552734,433674
2020-02-01,2,5.649551116287187,5.673999786376953,2.9769999980926514,6.441999912261963,433674
2020-03-01,3,5.637922111586033,5.65500020980835,4.1579999923706055,6.357999801635742,433674
2020-04-01,4,5.440345028690677,5.423999786376953,4.421999931335449,6.083000183105469,433674
2020-05-01,5,5.134287635094449,5.110000133514404,4.354000091552734,5.860000133514404,433674
2020-06-01,6,4.615376280561345,4.583000183105469,2.7990000247955322,5.6020002365112305,433674
2020-07-01,7,4.262733857938683,4.24399995803833,1.6920000314712524,5.34499979019165,433674
2020-08-01,8,4.63535370325259,4.631999969482422,2.4149999618530273,5.547999858856201,433674
2020-09-01,9,5.265424242241736,5.275000095367432,3.7339999675750732,5.919000148773193,433674
2020-10-01,10,5.532284943999531,5.539000034332275,3.8610000610351562,6.080999851226807,433674
2020-11-01,11,5.29667700176551,5.304999828338623,2.1410000324249268,5.914000034332275,433674
2020-12-01,12,5.1652919864547835,5.166999816894531,0.44600000977516174,5.886000156402588,433674
